Owner,Collection City,Collection City Lat,Collection City Long,Call Number,Position in Volume,Composer,Comp. Dates,Comp. Nationality,Title,Opera,P. City,P. State,P.Country,Publisher Lat,Publisher Long,Publisher,Date,Publication decade,Subject,Has t.p.?,Illustration?
Amelia Nance,New Orleans,29.95465,-90.07507,LOC M1 .A15 v.1,1,"Schmitz, Adolph",1796-1890,German immigrant,Fond memory's flowers of azure dye,,Philadelphia,Pennsylvania,United States,39.95234,-75.16379,"Fiot, Meignen & Co.",,1830,Songs with piano,0,0
Amelia Nance,New Orleans,29.95465,-90.07507,LOC M1 .A15 v.1,2,"Bayly, Helena Beecher Hayes",,English,Fair Puritan : sung by Mademoiselle Grisi,,New York,New York,United States,40.71427,-74.00597,Dubois & Bacon,,1830,Songs with piano,0,0
Amelia Nance,New Orleans,29.95465,-90.07507,LOC M1 .A15 v.1,3,"Maeder, J. Gaspard (James Gaspard)",1809-1876,English immigrant,Moon's on the lake : serenade : sung by Mr. Wood,,Philadelphia,Pennsylvania,United States,39.95234,-75.16379,Kretschmar & Nunns,1834,1830,Songs with piano,0,0
Amelia Nance,New Orleans,29.95465,-90.07507,LOC M1 .A15 v.1,4,"Lee, Alexander",1802-1851,English,Oh bring me showers of roses,,Philadelphia,Pennsylvania,United States,39.95234,-75.16379,"Fiot, Meignen & Co.",,1830,Songs with piano,0,0
Amelia Nance,New Orleans,29.95465,-90.07507,LOC M1 .A15 v.1,5,"Laborde Bussoni, Giuseppina de",,,Mariquita! While those glances : mariquita! De tus ojos : a favorite Spanish song,,Philadelphia,Pennsylvania,United States,39.95234,-75.16379,"Fiot, Meignen & Co.",,1830,Songs with piano,0,0
Amelia Nance,New Orleans,29.95465,-90.07507,LOC M1 .A15 v.1,6,"Lee, David",,,My own one! : a favorite Scotch melody,,Philadelphia,Pennsylvania,United States,39.95234,-75.16379,"Fiot, Meignen & Co.",,1830,Songs with piano,0,0
Amelia Nance,New Orleans,29.95465,-90.07507,LOC M1 .A15 v.1,7,"McKorkell, Charles",,,"Song of the elfin wooer : follow, follow in the clear moon light",,Philadelphia,Pennsylvania,United States,39.95234,-75.16379,"Fiot, Meignen & Co.",,1830,Songs with piano,0,0
Amelia Nance,New Orleans,29.95465,-90.07507,LOC M1 .A15 v.1,8,"Hummel, Johann Nepomuk",1778-1837,Austrian,She is yours : an historical ballad,,Philadelphia,Pennsylvania,United States,39.95234,-75.16379,"Fiot, Meignen & Co.",,1830,Songs with piano,0,0
Amelia Nance,New Orleans,29.95465,-90.07507,LOC M1 .A15 v.1,9,"Nelson, S. (Sydney)",1800-1862,English,Dear native land :  if by fate condemn'd to wander,,Philadelphia,Pennsylvania,United States,39.95234,-75.16379,"Fiot, Meignen & Co.",,1830,Songs with piano,0,0
Amelia Nance,New Orleans,29.95465,-90.07507,LOC M1 .A15 v.1,10,"Devereaux, L. (Leonardus)",,,On the banks of the Rhine,,Philadelphia,Pennsylvania,United States,39.95234,-75.16379,"Fiot, Meignen & Co.",,1830,Songs with piano,0,0
Amelia Nance,New Orleans,29.95465,-90.07507,LOC M1 .A15 v.1,11,"Beauplan, Ame?de?e de",1790-1853,French,Here let us rest dear maid : Dormez mes che?res amours : a celebrated duett,,Philadelphia,Pennsylvania,United States,39.95234,-75.16379,"Fiot, Meignen & Co.",,1830,Vocal duets with piano,0,0
Amelia Nance,New Orleans,29.95465,-90.07507,LOC M1 .A15 v.1,12,"Meineke, C. (Christopher)",1782-1850,German immigrant,Thought Cupid one day! : ballad,,Baltimore,Maryland,United States,39.29038,-76.61219,John Cole,,1830,Songs with piano,0,0
