Owner,Collection City,Collection City Geocoordinates,Binder,Number,Composer,Nationality,Title,Opera,Pub. City,Pub. State,Pub. Country,Pub. Coordinates,Publisher,Date,Publication decade,Subject,Has t.p.?,Illustration?
Amelia Nance,New Orleans,"29.9546500, -90.0750700",LOC M1 .A15 v.1,1,"Schmitz, Adolph",German immigrant,Fond memory's flowers of azure dye,,Philadelphia,Pennsylvania,United States,"39.9523400, -75.1637900","Fiot, Meignen & Co.",,1830,Songs with piano,0,0
Amelia Nance,New Orleans,"29.9546500, -90.0750700",LOC M1 .A15 v.1,2,"Bayly, Helena Beecher Hayes",English,Fair Puritan : sung by Mademoiselle Grisi,,New York,New York,United States,"40.7142700, -74.0059700",Dubois & Bacon,,1830,Songs with piano,0,0
Amelia Nance,New Orleans,"29.9546500, -90.0750700",LOC M1 .A15 v.1,3,"Maeder, J. Gaspard (James Gaspard)",English immigrant,Moon's on the lake : serenade : sung by Mr. Wood,,Philadelphia,Pennsylvania,United States,"39.9523400, -75.1637900",Kretschmar & Nunns,1834,1830,Songs with piano,0,0
Amelia Nance,New Orleans,"29.9546500, -90.0750700",LOC M1 .A15 v.1,4,"Lee, Alexander",English,Oh bring me showers of roses,,Philadelphia,Pennsylvania,United States,"39.9523400, -75.1637900","Fiot, Meignen & Co.",,1830,Songs with piano,0,0
Amelia Nance,New Orleans,"29.9546500, -90.0750700",LOC M1 .A15 v.1,5,"Laborde Bussoni, Giuseppina de",,Mariquita! While those glances : mariquita! De tus ojos : a favorite Spanish song,,Philadelphia,Pennsylvania,United States,"39.9523400, -75.1637900","Fiot, Meignen & Co.",,1830,Songs with piano,0,0
Amelia Nance,New Orleans,"29.9546500, -90.0750700",LOC M1 .A15 v.1,6,"Lee, David",,My own one! : a favorite Scotch melody,,Philadelphia,Pennsylvania,United States,"39.9523400, -75.1637900","Fiot, Meignen & Co.",,1830,Songs with piano,0,0
Amelia Nance,New Orleans,"29.9546500, -90.0750700",LOC M1 .A15 v.1,7,"McKorkell, Charles",,"Song of the elfin wooer : follow, follow in the clear moon light",,Philadelphia,Pennsylvania,United States,"39.9523400, -75.1637900","Fiot, Meignen & Co.",,1830,Songs with piano,0,0
Amelia Nance,New Orleans,"29.9546500, -90.0750700",LOC M1 .A15 v.1,8,"Hummel, Johann Nepomuk",Austrian,She is yours : an historical ballad,,Philadelphia,Pennsylvania,United States,"39.9523400, -75.1637900","Fiot, Meignen & Co.",,1830,Songs with piano,0,0
Amelia Nance,New Orleans,"29.9546500, -90.0750700",LOC M1 .A15 v.1,9,"Nelson, S. (Sydney)",English,Dear native land :  if by fate condemn'd to wander,,Philadelphia,Pennsylvania,United States,"39.9523400, -75.1637900","Fiot, Meignen & Co.",,1830,Songs with piano,0,0
Amelia Nance,New Orleans,"29.9546500, -90.0750700",LOC M1 .A15 v.1,10,"Devereaux, L. (Leonardus)",,On the banks of the Rhine,,Philadelphia,Pennsylvania,United States,"39.9523400, -75.1637900","Fiot, Meignen & Co.",,1830,Songs with piano,0,0
Amelia Nance,New Orleans,"29.9546500, -90.0750700",LOC M1 .A15 v.1,11,"Beauplan, Amédée de",French,Here let us rest dear maid : Dormez mes chères amours : a celebrated duett,,Philadelphia,Pennsylvania,United States,"39.9523400, -75.1637900","Fiot, Meignen & Co.",,1830,Vocal duets with piano,0,0
Amelia Nance,New Orleans,"29.9546500, -90.0750700",LOC M1 .A15 v.1,12,"Meineke, C. (Christopher)",German immigrant,Thought Cupid one day! : ballad,,Baltimore,Maryland,United States,"39.2903800, -76.6121900",John Cole,,1830,Songs with piano,0,0
Amelia Nance,New Orleans,"29.9546500, -90.0750700",LOC M1 .A15 v.1,13,"Waller, Sidney",,My heart is thine : the prize ballad,,Philadelphia,Pennsylvania,United States,"39.9523400, -75.1637900","Fiot, Meignen & Co.",,1830,Songs with piano,0,0
Amelia Nance,New Orleans,"29.9546500, -90.0750700",LOC M1 .A15 v.1,14,"Herold, Ferdinand",French,Dry up your tears : Je pars demain! il faut quitter Marie,,Philadelphia,Pennsylvania,United States,"39.9523400, -75.1637900","Fiot, Meignen & Co.",,1830,Songs with piano,0,0
Amelia Nance,New Orleans,"29.9546500, -90.0750700",LOC M1 .A15 v.1,15,"Auber, D. F. E. (Daniel Francois Esprit)",French,Barcarole,Masaniello,New York,New York,United States,"40.7142700, -74.0059700",William Bunce,,1830,Songs with piano,0,0
